Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,,,
36,Male,Master's Degree,Senior Software Engineer,8,140000,Canada,Black,,,
33,Male,Master's Degree,Full Stack Engineer,6,130000,UK,Welsh,,,
27,Female,Master's Degree,Back end Developer,2,70000,Canada,White,,,
44,Male,Master's Degree,Senior Project Engineer,11,170000,Canada,White,,,
31,Male,Master's Degree,Senior Project Engineer,6,125000,China,Korean,,,
38,Male,Master's Degree,Senior Software Engineer,10,155000,USA,Hispanic,,,
27,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,,,
54,Male,PhD,Software Engineer Manager,17,195000,Australia,White,,,
31,Male,Master's Degree,Senior Software Engineer,7,140000,China,White,,,
32,Male,Master's Degree,Back end Developer,6,130000,USA,White,,,
38,Female,Master's Degree,Back end Developer,10,155000,UK,Asian,,,
51,Male,PhD,Software Engineer Manager,16,190000,Australia,Asian,,,
28,Male,Bachelor's Degree,Front end Developer,2,70000,UK,Mixed,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,Canada,Asian,,,
43,Male,PhD,Senior Project Engineer,13,185000,China,White,,,
27,Female,Master's Degree,Full Stack Engineer,3,100000,USA,White,,,
49,Male,PhD,Software Engineer Manager,15,185000,Australia,Asian,,,
48,Male,PhD,Senior Project Engineer,16,190000,Australia,Australian,,,
31,Male,Master's Degree,Senior Project Engineer,7,135000,Australia,White,,,
40,Female,PhD,Senior Software Engineer,12,160000,USA,White,,,
24,Male,Bachelor's Degree,Front end Developer,1,55000,Canada,White,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,USA,White,,,
42,Male,PhD,Senior Software Engineer,14,170000,Canada,Asian,,,
24,Female,Bachelor's Degree,Front end Developer,1,55000,UK,Welsh,,,
28,Female,Bachelor's Degree,Front end Developer,3,80000,USA,African American,,,
43,Male,PhD,Senior Project Engineer,13,185000,China,White,,,
31,Male,Master's Degree,Full Stack Engineer,7,140000,USA,Asian,,,
43,Male,PhD,Software Engineer Manager,13,180000,China,White,,,
27,Female,Master's Degree,Back end Developer,2,70000,Australia,Australian,,,
49,Male,PhD,Software Engineer Manager,15,185000,USA,African American,,,
48,Male,PhD,Senior Project Engineer,16,190000,UK,Mixed,,,
31,Male,Master's Degree,Senior Project Engineer,6,125000,Canada,Asian,,,
40,Male,PhD,Senior Software Engineer,12,160000,China,Chinese,,,
36,Male,Master's Degree,Senior Software Engineer,8,140000,UK,Welsh,,,
54,Male,PhD,Software Engineer Manager,17,195000,Canada,Asian,,,
27,Male,Bachelor's Degree,Front end Developer,2,70000,Australia,Australian,,,
28,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,,,
44,Male,Master's Degree,Senior Project Engineer,11,170000,China,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,China,Chinese,,,
54,Male,PhD,Software Engineer Manager,17,195000,UK,Asian,,,
32,Male,Master's Degree,Back end Developer,6,130000,Australia,Australian,,,
38,Male,Master's Degree,Senior Software Engineer,10,155000,UK,Mixed,,,
49,Male,PhD,Software Engineer Manager,15,185000,UK,Mixed,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,Canada,Black,,,
54,Male,PhD,Software Engineer Manager,17,195000,Australia,White,,,
31,Male,Master's Degree,Senior Project Engineer,7,135000,UK,White,,,
24,Male,Bachelor's Degree,Back end Developer,1,55000,Canada,White,,,
48,Male,PhD,Senior Project Engineer,16,190000,USA,White,,,
27,Female,Master's Degree,Back end Developer,2,70000,Canada,Black,,,
43,Male,PhD,Senior Project Engineer,13,185000,USA,Hispanic,,,
44,Male,Master's Degree,Senior Project Engineer,11,170000,Canada,Asian,,,
37,Male,Master's Degree,Senior Software Engineer,9,150000,Canada,Asian,,,
56,Male,PhD,Software Engineer Manager,17,195000,UK,Welsh,,,
28,Male,Bachelor's Degree,Front end Developer,2,70000,USA,Hispanic,,,
54,Male,PhD,Software Engineer Manager,17,195000,Canada,Asian,,,
31,Male,Master's Degree,Senior Project Engineer,6,125000,USA,Asian,,,
49,Male,PhD,Software Engineer Manager,15,185000,China,White,,,
54,Male,PhD,Software Engineer Manager,17,195000,Canada,Black,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,Australia,White,,,
42,Male,PhD,Senior Software Engineer,14,170000,China,Korean,,,
38,Male,Master's Degree,Senior Software Engineer,10,155000,China,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,Canada,White,,,
27,Male,Bachelor's Degree,Front end Developer,2,70000,Canada,Asian,,,
31,Male,Master's Degree,Full Stack Engineer,7,140000,Canada,Asian,,,
54,Male,PhD,Software Engineer Manager,17,195000,UK,Asian,,,
36,Male,Master's Degree,Senior Software Engineer,8,140000,Canada,Black,,,
27,Female,Master's Degree,Back end Developer,2,70000,USA,African American,,,
49,Male,PhD,Software Engineer Manager,15,185000,China,Chinese,,,
48,Male,PhD,Senior Project Engineer,16,190000,UK,Mixed,,,
31,Male,Master's Degree,Senior Project Engineer,7,135000,USA,African American,,,
40,Female,PhD,Senior Software Engineer,12,160000,UK,White,,,
24,Male,Bachelor's Degree,Front end Developer,1,55000,UK,Welsh,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,China,Chinese,,,
43,Male,PhD,Senior Project Engineer,13,185000,USA,White,,,
27,Female,Master's Degree,Full Stack Engineer,3,100000,UK,Mixed,,,
49,Male,PhD,Software Engineer Manager,15,185000,UK,Asian,,,
48,Male,PhD,Senior Project Engineer,16,190000,USA,White,,,
31,Male,Master's Degree,Senior Project Engineer,6,125000,UK,White,,,
40,Male,PhD,Senior Software Engineer,12,160000,USA,Hispanic,,,
36,Male,Master's Degree,Senior Software Engineer,8,140000,China,Korean,,,
54,Male,PhD,Software Engineer Manager,17,195000,UK,Asian,,,
27,Male,Bachelor's Degree,Front end Developer,2,70000,Australia,Australian,,,
28,Male,Bachelor's Degree,Front end Developer,2,70000,Canada,Black,,,
44,Male,Master's Degree,Senior Project Engineer,11,170000,Canada,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,UK,Welsh,,,
54,Male,PhD,Software Engineer Manager,17,195000,Canada,Black,,,
32,Male,Master's Degree,Back end Developer,6,130000,Canada,Asian,,,
38,Male,Master's Degree,Senior Software Engineer,10,155000,Canada,White,,,
49,Male,PhD,Software Engineer Manager,15,185000,Canada,White,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,USA,African American,,,
54,Male,PhD,Software Engineer Manager,17,195000,China,White,,,
31,Male,Master's Degree,Senior Project Engineer,7,135000,Australia,Asian,,,
24,Male,Bachelor's Degree,Back end Developer,1,55000,USA,Hispanic,,,
48,Male,PhD,Senior Project Engineer,16,190000,Canada,Asian,,,
27,Female,Master's Degree,Back end Developer,2,70000,UK,Mixed,,,
43,Male,PhD,Senior Project Engineer,13,185000,UK,Mixed,,,
44,Male,Master's Degree,Senior Project Engineer,11,170000,USA,African American,,,
37,Male,Master's Degree,Senior Software Engineer,9,150000,UK,Asian,,,
56,Male,PhD,Software Engineer Manager,17,195000,USA,White,,,
28,Male,Bachelor's Degree,Front end Developer,2,70000,Canada,Black,,,
54,Male,PhD,Software Engineer Manager,17,195000,USA,African American,,,
31,Male,Master's Degree,Senior Project Engineer,6,125000,China,White,,,
49,Male,PhD,Software Engineer Manager,15,185000,Australia,White,,,
54,Male,PhD,Software Engineer Manager,17,195000,China,Chinese,,,
27,Male,Bachelor's Degree,Front end Developer,3,80000,UK,Welsh,,,
42,Male,PhD,Senior Software Engineer,14,170000,China,White,,,
38,Male,Master's Degree,Senior Software Engineer,10,155000,Australia,Asian,,,
36,Male,Bachelor's Degree,Front end Developer,7,120000,UK,Asian,,,
29,Female,Master's Degree,Back end Developer,3,90000,USA,Asian,,,
41,Female,PhD,Software Engineer Manager,14,180000,UK,Asian,,,
33,Male,Bachelor's Degree,Full Stack Engineer,7,130000,UK,Welsh,,,
42,Male,PhD,Senior Software Engineer,12,170000,China,Korean,,,
28,Male,Bachelor's Degree,Back end Developer,2,70000,UK,Welsh,,,
55,Male,PhD,Software Engineer Manager,18,210000,China,White,,,
26,Female,Master's Degree,Front end Developer,1,55000,Canada,Asian,,,
47,Male,PhD,Senior Project Engineer,16,190000,UK,Welsh,,,
44,Female,PhD,Software Engineer Manager,11,165000,Canada,Black,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,China,Korean,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,UK,Welsh,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,Canada,Black,,,
50,Male,PhD,Software Engineer Manager,17,195000,China,Korean,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,China,Chinese,,,
46,Male,PhD,Senior Project Engineer,14,180000,UK,White,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Australia,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,UK,Welsh,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,Canada,Black,,,
29,Female,Master's Degree,Back end Developer,3,90000,UK,Mixed,,,
40,Female,PhD,Senior Software Engineer,12,160000,USA,White,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,China,White,,,
41,Male,PhD,Senior Project Engineer,13,185000,Australia,White,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,UK,White,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,Australia,Asian,,,
55,Male,PhD,Software Engineer Manager,18,210000,UK,Asian,,,
26,Female,Master's Degree,Front end Developer,1,55000,UK,Mixed,,,
47,Male,PhD,Senior Project Engineer,16,190000,USA,African American,,,
44,Female,PhD,Software Engineer Manager,11,165000,UK,Asian,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,USA,White,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,China,Korean,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Hispanic,,,
50,Male,PhD,Software Engineer Manager,17,195000,Australia,Australian,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,UK,Mixed,,,
46,Male,PhD,Senior Project Engineer,14,180000,Australia,Asian,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,UK,Asian,,,
43,Male,PhD,Senior Project Engineer,13,185000,USA,African American,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,Australia,Asian,,,
29,Female,Master's Degree,Back end Developer,3,90000,Canada,Black,,,
40,Female,PhD,Senior Software Engineer,12,160000,USA,Hispanic,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,UK,Mixed,,,
41,Male,PhD,Senior Project Engineer,13,185000,UK,White,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,Australia,Asian,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,USA,African American,,,
55,Male,PhD,Software Engineer Manager,18,210000,China,Chinese,,,
26,Female,Master's Degree,Front end Developer,1,55000,Australia,Australian,,,
47,Male,PhD,Senior Project Engineer,16,190000,USA,Hispanic,,,
44,Female,PhD,Software Engineer Manager,11,165000,Canada,Black,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,USA,African American,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,Canada,White,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,Australia,Australian,,,
50,Male,PhD,Software Engineer Manager,17,195000,Australia,White,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,Canada,Black,,,
46,Male,PhD,Senior Project Engineer,14,180000,Australia,White,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,China,White,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,Australia,Australian,,,
29,Female,Master's Degree,Back end Developer,3,90000,Canada,Black,,,
40,Female,PhD,Senior Software Engineer,12,160000,Australia,Asian,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,Canada,Asian,,,
41,Male,PhD,Senior Project Engineer,13,185000,Australia,Australian,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,UK,Asian,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,Australia,Australian,,,
55,Male,PhD,Software Engineer Manager,18,210000,UK,Asian,,,
26,Female,Master's Degree,Front end Developer,1,55000,USA,Asian,,,
47,Male,PhD,Senior Project Engineer,16,190000,Australia,Asian,,,
44,Female,PhD,Software Engineer Manager,11,165000,China,White,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,China,Korean,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,Australia,Asian,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,White,,,
50,Male,PhD,Software Engineer Manager,17,195000,Australia,Australian,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,Canada,Black,,,
46,Male,PhD,Senior Project Engineer,14,180000,UK,Welsh,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,UK,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,Australia,Asian,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,China,Chinese,,,
29,Female,Master's Degree,Back end Developer,3,90000,Australia,White,,,
40,Female,PhD,Senior Software Engineer,12,160000,Australia,White,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,China,White,,,
41,Male,PhD,Senior Project Engineer,13,185000,Australia,Asian,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,UK,White,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Asian,,,
55,Male,PhD,Software Engineer Manager,18,210000,USA,Hispanic,,,
26,Female,Master's Degree,Front end Developer,1,55000,UK,Mixed,,,
47,Male,PhD,Senior Project Engineer,16,190000,USA,African American,,,
44,Female,PhD,Software Engineer Manager,11,165000,China,Chinese,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,UK,Mixed,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,Australia,Asian,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Asian,,,
50,Male,PhD,Software Engineer Manager,17,195000,China,White,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,Australia,Asian,,,
46,Male,PhD,Senior Project Engineer,14,180000,Canada,Black,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Canada,Asian,,,
43,Male,PhD,Senior Project Engineer,13,185000,Australia,Asian,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,Australia,Australian,,,
29,Female,Master's Degree,Back end Developer,3,90000,Australia,Asian,,,
40,Female,PhD,Senior Software Engineer,12,160000,China,Korean,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,UK,Mixed,,,
41,Male,PhD,Senior Project Engineer,13,185000,Canada,Black,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,China,Korean,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,Canada,Asian,,,
55,Male,PhD,Software Engineer Manager,18,210000,USA,White,,,
26,Female,Master's Degree,Front end Developer,1,55000,Australia,Australian,,,
47,Male,PhD,Senior Project Engineer,16,190000,USA,African American,,,
44,Female,PhD,Software Engineer Manager,11,165000,Canada,Asian,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,Australia,Asian,,,
39,Female,Master's Degree,Senior Software Engineer,11,160000,Canada,White,,,
32,Male,Bachelor's Degree,Front end Developer,6,110000,Canada,Black,,,
50,Male,PhD,Software Engineer Manager,17,195000,USA,White,,,
27,Male,Bachelor's Degree,Back end Developer,3,85000,USA,African American,,,
46,Male,PhD,Senior Project Engineer,14,180000,USA,African American,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Australia,White,,,
43,Male,PhD,Senior Project Engineer,13,185000,Australia,White,,,
35,Male,Bachelor's Degree,Back end Developer,8,140000,USA,African American,,,
29,Female,Master's Degree,Back end Developer,3,90000,USA,Hispanic,,,
40,Female,PhD,Senior Software Engineer,12,160000,China,Chinese,,,
35,Male,Bachelor's Degree,Full Stack Engineer,8,145000,China,Chinese,,,
41,Male,PhD,Senior Project Engineer,13,185000,USA,Asian,,,
30,Male,Master's Degree,Full Stack Engineer,5,105000,Australia,White,,,
33,Male,Bachelor's Degree,Front end Developer,6,110000,Australia,Asian,,,
55,Male,PhD,Software Engineer Manager,18,210000,China,Korean,,,
31,Male,Bachelor's Degree,Front end Developer,6,115000,Australia,Australian,,,
42,Female,Master's Degree,Software Engineer Manager,13,170000,Australia,Asian,,,
27,Female,Bachelor's Degree,Back end Developer,3,80000,Canada,Asian,,,
51,Male,PhD,Senior Project Engineer,19,200000,UK,Mixed,,,
34,Female,Master's Degree,Full Stack Engineer,7,130000,Australia,White,,,
38,Male,Bachelor's Degree,Software Engineer Manager,11,155000,Canada,Asian,,,
29,Male,Bachelor's Degree,Front end Developer,5,105000,China,White,,,
43,Female,PhD,Senior Project Engineer,14,190000,Australia,Australian,,,
36,Male,Master's Degree,Back end Developer,8,140000,USA,African American,,,
48,Male,PhD,Software Engineer Manager,16,185000,Australia,Asian,,,
35,Female,Bachelor's Degree,Full Stack Engineer,8,145000,Australia,White,,,
30,Female,Master's Degree,Front end Developer,4,90000,China,Chinese,,,
50,Male,PhD,Senior Project Engineer,18,195000,Australia,Australian,,,
29,Male,Bachelor's Degree,Back end Developer,4,95000,USA,Asian,,,
41,Male,Master's Degree,Software Engineer Manager,13,170000,China,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,Welsh,,,
45,Male,PhD,Senior Project Engineer,16,185000,UK,Mixed,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,USA,African American,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,USA,African American,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,UK,Mixed,,,
46,Male,PhD,Senior Project Engineer,15,180000,Canada,White,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Canada,Black,,,
42,Male,PhD,Software Engineer Manager,14,190000,UK,Mixed,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Asian,,,
49,Female,PhD,Senior Project Engineer,17,195000,Australia,Australian,,,
36,Male,Master's Degree,Back end Developer,9,150000,Canada,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,China,Chinese,,,
45,Male,PhD,Software Engineer Manager,16,185000,Canada,White,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Canada,White,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Mixed,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,African American,,,
46,Male,PhD,Senior Project Engineer,15,180000,USA,Hispanic,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Australia,Asian,,,
42,Male,PhD,Software Engineer Manager,14,190000,China,Korean,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,China,Chinese,,,
49,Female,PhD,Senior Project Engineer,17,195000,USA,White,,,
36,Male,Master's Degree,Back end Developer,9,150000,UK,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,Hispanic,,,
45,Male,PhD,Software Engineer Manager,16,185000,UK,White,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,UK,Welsh,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Welsh,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,African American,,,
46,Male,PhD,Senior Project Engineer,15,180000,USA,Hispanic,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,UK,Asian,,,
42,Male,PhD,Software Engineer Manager,14,190000,Australia,Asian,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,China,Chinese,,,
49,Female,PhD,Senior Project Engineer,17,195000,Canada,Black,,,
36,Male,Master's Degree,Back end Developer,9,150000,China,Korean,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,White,,,
45,Male,PhD,Software Engineer Manager,16,185000,USA,Asian,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Canada,Black,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Welsh,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,Australia,Australian,,,
46,Male,PhD,Senior Project Engineer,15,180000,Canada,Asian,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,UK,Mixed,,,
42,Male,PhD,Software Engineer Manager,14,190000,China,Chinese,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,China,Korean,,,
49,Female,PhD,Senior Project Engineer,17,195000,UK,Welsh,,,
36,Male,Master's Degree,Back end Developer,9,150000,Australia,Australian,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,China,Korean,,,
45,Male,PhD,Software Engineer Manager,16,185000,USA,African American,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,China,White,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,China,Korean,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,Asian,,,
46,Male,PhD,Senior Project Engineer,15,180000,China,Korean,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,Asian,,,
42,Male,PhD,Software Engineer Manager,14,190000,Australia,Australian,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Asian,,,
49,Female,PhD,Senior Project Engineer,17,195000,Canada,Black,,,
36,Male,Master's Degree,Back end Developer,9,150000,Canada,Asian,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Australian,,,
45,Male,PhD,Software Engineer Manager,16,185000,China,Chinese,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Australia,Asian,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,Canada,Asian,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,UK,Asian,,,
46,Male,PhD,Senior Project Engineer,15,180000,USA,African American,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Australia,White,,,
42,Male,PhD,Software Engineer Manager,14,190000,Australia,Australian,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Asian,,,
49,Female,PhD,Senior Project Engineer,17,195000,Canada,White,,,
36,Male,Master's Degree,Back end Developer,9,150000,UK,Welsh,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,Asian,,,
45,Male,PhD,Software Engineer Manager,16,185000,UK,White,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Australia,Australian,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,White,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Asian,,,
46,Male,PhD,Senior Project Engineer,15,180000,UK,White,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,African American,,,
42,Male,PhD,Software Engineer Manager,14,190000,UK,Mixed,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,UK,Welsh,,,
49,Female,PhD,Senior Project Engineer,17,195000,USA,African American,,,
36,Male,Master's Degree,Back end Developer,9,150000,Australia,Asian,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,Asian,,,
45,Male,PhD,Software Engineer Manager,16,185000,Australia,Asian,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Canada,Asian,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,Australia,White,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,Australia,Asian,,,
46,Male,PhD,Senior Project Engineer,15,180000,Australia,Australian,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,China,Korean,,,
42,Male,PhD,Software Engineer Manager,14,190000,UK,Asian,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,UK,White,,,
49,Female,PhD,Senior Project Engineer,17,195000,Canada,White,,,
36,Male,Master's Degree,Back end Developer,9,150000,UK,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,UK,Welsh,,,
45,Male,PhD,Software Engineer Manager,16,185000,UK,White,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,USA,African American,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Mixed,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,White,,,
46,Male,PhD,Senior Project Engineer,15,180000,USA,African American,,,
25,Female,Bachelor's Degree,Front end Developer,1,55000,Australia,Australian,,,
42,Male,PhD,Software Engineer Manager,14,190000,USA,White,,,
31,Male,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,White,,,
49,Female,PhD,Senior Project Engineer,17,195000,China,Chinese,,,
36,Male,Master's Degree,Back end Developer,9,150000,China,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,Asian,,,
45,Male,PhD,Software Engineer Manager,16,185000,Australia,Australian,,,
28,Female,Bachelor's Degree,Front end Developer,2,65000,Australia,Australian,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,UK,Welsh,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,Canada,Black,,,
46,Male,PhD,Senior Project Engineer,15,180000,China,Chinese,,,
25,Female,Bachelor's Degree,Front end Developer,1,550,UK,Mixed,,,
29,Male,Bachelor's Degree,Front end Developer,4,90000,Australia,White,,,
40,Female,Master's Degree,Software Engineer Manager,12,160000,USA,Hispanic,,,
27,Female,Bachelor's Degree,Back end Developer,3,80000,UK,White,,,
50,Male,PhD,Senior Project Engineer,18,195000,UK,White,,,
33,Female,Master's Degree,Full Stack Engineer,6,115000,Canada,White,,,
37,Male,Bachelor's Degree,Software Engineer Manager,10,150000,UK,Asian,,,
28,Male,Bachelor's Degree,Front end Developer,2,65000,UK,Asian,,,
44,Female,PhD,Senior Project Engineer,14,190000,Australia,Australian,,,
35,Male,Master's Degree,Back end Developer,8,140000,UK,White,,,
47,Male,PhD,Software Engineer Manager,16,185000,Canada,Asian,,,
34,Female,Bachelor's Degree,Full Stack Engineer,7,130000,China,Korean,,,
31,Female,Master's Degree,Front end Developer,5,105000,UK,Welsh,,,
51,Male,PhD,Senior Project Engineer,19,200000,China,Chinese,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,White,,,
42,Male,Master's Degree,Software Engineer Manager,13,170000,Canada,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Canada,White,,,
45,Male,PhD,Senior Project Engineer,16,185000,UK,Welsh,,,
29,Female,Bachelor's Degree,Front end Developer,4,90000,Australia,Asian,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,China,Chinese,,,
27,Male,Bachelor's Degree,Back end Developer,3,80000,Australia,White,,,
49,Male,PhD,Senior Project Engineer,17,195000,USA,Asian,,,
32,Female,Master's Degree,Full Stack Engineer,6,115000,China,Chinese,,,
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Hispanic,,,
27,Male,Bachelor's Degree,Front end Developer,2,65000,Australia,Australian,,,
43,Female,PhD,Senior Project Engineer,14,190000,Canada,White,,,
34,Male,Master's Degree,Back end Developer,8,140000,Australia,Australian,,,
46,Male,PhD,Software Engineer Manager,16,185000,UK,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,USA,Hispanic,,,
30,Female,Master's Degree,Front end Developer,5,105000,UK,White,,,
50,Male,PhD,Senior Project Engineer,19,200000,China,Korean,,,
30,Male,Bachelor's Degree,Back end Developer,5,100000,UK,Asian,,,
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,White,,,
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,Australia,Asian,,,
45,Male,PhD,Senior Project Engineer,16,185000,Australia,Australian,,,
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,White,,,
39,Female,Master's Degree,Software Engineer Manager,12,160000,Canada,Black,,,
27,Male,Bachelor's Degree,Back end Developer,3,80000,Canada,Black,,,
49,Male,PhD,Senior Project Engineer,17,195000,USA,Asian,,,
32,Female,Master's Degree,Full Stack Engineer,6,115000,Canada,Black,,,
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Asian,,,
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,White,,,
43,Female,PhD,Senior Project Engineer,14,190000,Australia,Asian,,,
